Sample	Normalized_Value
1576	0.7353
1577	0.7353
1578	0.7353
1579	0.7353
1580	0.7353
1581	0.7353
1582	0.7353
1583	0.7353
1584	0.6471
1585	0.6471
1586	0.6471
1587	0.6471
1588	0.6471
1589	0.6471
1590	0.6471
1591	0.6471
1592	0.6471
1593	0.6471
1594	0.6471
1595	0.6471
1596	0.6471
1597	0.6471
1598	0.6471
1599	0.7059
1600	0.7059
1601	0.7059
1602	0.7059
1603	0.6471
1604	0.6471
1605	0.6471
1606	0.6471
1607	0.6471
1608	0.6471
1609	0.7059
1610	0.7059
1611	0.7059
1612	0.7059
1613	0.7059
1614	0.7059
1615	0.7059
1616	0.7059
1617	0.7059
1618	0.7059
1619	0.7059
1620	0.7059
1621	0.7059
1622	0.7059
1623	0.7059
1624	0.6471
1625	0.6471
1626	0.6471
1627	0.6471
1628	0.6471
1629	0.6471
1630	0.6471
1631	0.6471
1632	0.6471
1633	0.6471
1634	0.6471
1635	0.6471
1636	0.7353
1637	0.7353
1638	0.7353
1639	0.7353
1640	0.7353
1641	0.6176
1642	0.6176
1643	0.6176
1644	0.6176
1645	0.6176
1646	0.6176
1647	0.6176
1648	0.6176
1649	0.6176
1650	0.6176
1651	0.5588
1652	0.4412
1653	0.4412
1654	0.4412
1655	0.4412
1656	0.4412
1657	0.4412
1658	0.4412
1659	0.4412
1660	0.4412
1661	0.4412
1662	0.4412
1663	0.4412
1664	0.4412
1665	0.4412
1666	0.4412
1667	0.4412
1668	0.4412
1669	0.4412
1670	0.4412
1671	0.5588
1672	0.6471
1673	0.7059
1674	0.8529
1675	0.8529
1676	0.8529
1677	0.8529
1678	0.9118
1679	0.9118
1680	0.9118
1681	0.9118
1682	0.9118
1683	0.9118
1684	0.9118
1685	0.9118
1686	0.2647
1687	-0.1765
1688	-0.5000
1689	-0.7059
1690	-0.8529
1691	-0.9706
1692	-0.9706
1693	-0.9706
1694	-0.9706
1695	-0.9706
1696	-0.9706
1697	-0.9706
1698	-0.9706
1699	-0.9706
1700	-0.9706
1701	-0.9706
1702	-0.9706
1703	-0.9706
1704	-0.9706
1705	-0.9706
1706	-0.9706
1707	-0.9706
1708	-0.9706
1709	-0.9706
1710	-0.4412
1711	-0.0882
1712	0.1765
1713	0.3529
1714	0.3529
1715	0.5000
1716	0.5882
1717	0.6471
1718	0.6471
1719	0.6471
1720	0.6471
1721	0.6471
1722	0.6471
1723	0.6471
1724	0.6471
1725	0.6471
1726	0.7941
1727	0.7941
1728	0.7941
1729	0.7941
1730	0.7941
1731	0.7941
1732	0.7941
1733	0.6765
1734	0.6765
1735	0.6765
1736	0.6765
1737	0.6765
1738	0.6765
1739	0.6765
1740	0.6765
1741	0.6765
1742	0.6765
1743	0.6765
1744	0.6765
1745	0.6765
1746	0.6765
1747	0.6765
1748	0.6765
1749	0.6765
1750	0.6765
1751	0.6765
1752	0.6765
1753	0.6765
1754	0.6765
1755	0.6765
1756	0.6765
1757	0.6765
1758	0.6765
1759	0.6765
1760	0.6765
1761	0.6765
1762	0.6765
1763	0.6765
1764	0.6765
1765	0.6765
1766	0.6765
1767	0.6765
1768	0.2941
1769	0.0294
1770	-0.1471
1771	-0.1471
1772	-0.1471
1773	-0.1471
1774	-0.1471
1775	-0.1471
1776	-0.1471
1777	-0.1471
1778	-0.1471
1779	-0.1471
1780	-0.1471
1781	-0.1471
1782	-0.1471
1783	-0.1471
1784	-0.1471
1785	-0.1471
1786	-0.1471
1787	-0.1471
1788	-0.1471
1789	-0.1471
1790	-0.1471
1791	-0.1471
1792	-0.1471
1793	-0.1471
1794	-0.1471
1795	0.1176
1796	0.3235
1797	0.4706
1798	0.4706
1799	0.5294
1800	0.5588
1801	0.7059
1802	0.7353
1803	0.7353
1804	0.7353
1805	0.8824
1806	0.8824
1807	0.8824
1808	0.8824
1809	0.8824
1810	0.8824
1811	0.8824
1812	0.8824
1813	0.8824
1814	0.8824
1815	0.7647
1816	0.7647
1817	0.7647
1818	0.7647
1819	0.7647
1820	0.7647
1821	0.7647
1822	0.7647
1823	0.7647
1824	0.6471
1825	0.6471
1826	0.6471
1827	0.6765
1828	0.6765
1829	0.6765
